Product;Total;Date;Price;Units
Apparel_31/12;122500;31/12/2022;55;125
Apparel_26/11;2576;26/11/2022;45;225
Apparel_25/10;2961;25/10/2022;55;125
Apparel_23/09;1872;23/09/2022;45;225
Apparel_22/08;68750;22/08/2022;60;75
Apparel_21/07;187500;21/07/2022;50;175
Apparel_20/06;3975;20/06/2022;60;75
Apparel_19/05;4615;19/05/2022;50;200
Apparel_17/04;4914;17/04/2022;65;125
Apparel_16/03;195000;16/03/2022;70;250
Apparel_15/02;105000;15/02/2022;65;150
Apparel_14/01;2448;14/01/2022;70;300
Apparel_13/12;2688;13/12/2021;65;200
Apparel_12/11;2214;12/11/2021;70;375
Apparel_11/10;82500;11/10/2021;65;175
Apparel_10/09;297500;10/09/2021;70;350
Apparel_09/09;393750;09/08/2021;55;125
Apparel_08/07;7616;08/07/2021;60;225
Apparel_07/06;9432;07/06/2021;60;100
Apparel_06/05;7040;06/05/2021;65;225
Athletic Footwear_31/12;1185997;31/12/2022;45;125
Athletic Footwear_26/11;1185421;26/11/2022;40;50
Athletic Footwear_25/10;1185124;25/10/2022;50;150
Athletic Footwear_23/09;1185512;23/09/2022;45;25
Athletic Footwear_22/08;118512;22/08/2022;50;150
Athletic Footwear_21/07;1185712;21/07/2022;45;75
Athletic Footwear_20/06;1185753;20/06/2022;60;175
Athletic Footwear_19/05;1185764;19/05/2022;55;100
Athletic Footwear_17/04;1185785;17/04/2022;60;250
Athletic Footwear_16/03;118572;16/03/2022;55;150
Athletic Footwear_15/02;2328299;15/02/2022;60;300
Athletic Footwear_14/01;1328299;14/01/2022;55;175
Athletic Footwear_13/12;6128299;13/12/2021;60;300
Athletic Footwear_12/11;112866;12/11/2021;55;200
Athletic Footwear_11/10;1128236;11/10/2021;50;275
Athletic Footwear_10/09;2328299;10/09/2021;45;175
Athletic Footwear_09/08;685732;09/08/2021;50;225
Athletic Footwear_08/07;1785732;08/07/2021;50;100
Athletic Footwear_07/06;185732;07/06/2021;60;200
Athletic Footwear_06/05;1165732;06/05/2021;60;175
Street Footwear_31/12;562732;31/12/2022;45;475
Street Footwear_26/11;685732;26/11/2022;35;175
Street Footwear_25/10;1335732;25/10/2022;50;445
Street Footwear_23/09;2685732;23/09/2022;40;175
Street Footwear_22/08;23623;22/08/2022;50;450
Street Footwear_21/07;232367;21/07/2022;40;150
Street Footwear_20/06;5732;20/06/2022;60;470
Street Footwear_19/05;15732;19/05/2022;55;150
Street Footwear_17/04;1235732;17/04/2022;65;500
Street Footwear_16/03;3185732;16/03/2022;55;175
Street Footwear_15/02;6228299;15/02/2022;65;500
Street Footwear_14/01;1123299;14/01/2022;55;225
Street Footwear_13/12;1126699;13/12/2021;65;525
Street Footwear_12/11;113399;12/11/2021;55;225
Street Footwear_11/10;1123299;11/10/2021;65;475
Street Footwear_10/09;1123399;10/09/2021;45;200
Street Footwear_09/08;11732;09/08/2021;60;400
Street Footwear_08/07;112732;08/07/2021;50;125
Street Footwear_07/06;1163732;07/06/2021;70;375
Street Footwear_06/05;112732;06/05/2021;60;195
